********************
FOLD 0
357 training documents
357 test documents
('carbamazepine', 'none', 'drug')
('niacin', 'none', 'drug')
('doxorubicin', 'none', 'drug')
('iron', 'none', 'drug')
('thyroid', 'none', 'drug')
('toxin', 'none', 'drug')
('toxin', 'none', 'drug')
('calcium', 'none', 'drug')
('toxin', 'none', 'drug')
('toxin', 'none', 'drug')
('toxin', 'none', 'drug')
('toxin', 'none', 'drug')
('norepinephrine', 'none', 'drug')
('thyroid', 'none', 'drug')
('glucose', 'none', 'drug')
('alcohol', 'none', 'drug')
('levothyroxine', 'none', 'drug')
('colestipol', 'none', 'drug')
('aluminum', 'none', 'drug')
('levothyroxine', 'none', 'drug')
('aminosalicylic acid', 'none', 'drug')
('somatostatin', 'none', 'drug')
('iodine', 'none', 'drug')
('thyroid', 'none', 'drug')
('thyroid', 'none', 'drug')
('thyroid', 'none', 'drug')
('thyroid', 'none', 'drug')
('thyroid', 'none', 'drug')
('thyroid', 'none', 'drug')
('thyroid', 'none', 'drug')
('thyroid', 'none', 'drug')
('thyroid', 'none', 'drug')
('thyroid', 'none', 'drug')
('thyroid', 'none', 'drug')
('thyroid', 'none', 'drug')
('thyroid', 'none', 'drug')
('levothyroxine', 'none', 'drug')
('thyroid', 'none', 'drug')
('thyroid', 'none', 'drug')
('thyroid', 'none', 'drug')
('glucose', 'none', 'drug')
('glucose', 'none', 'drug')
('glucose', 'none', 'drug')
('glucose', 'none', 'drug')
('glucose', 'none', 'drug')
('glucose', 'none', 'drug')
('glucose', 'none', 'drug')
('potassium', 'none', 'drug')
('Potassium', 'none', 'drug')
('potassium', 'none', 'drug')
('potassium', 'none', 'drug')
('potassium', 'none', 'drug')
('Potassium', 'none', 'drug')
('Nonsteroidal Antiinflammatory', 'none', 'drug')
('dolasetron', 'none', 'drug')
('dolasetron', 'none', 'drug')
('dolasetron', 'none', 'drug')
('dolasetron', 'none', 'drug')
('dolasetron', 'none', 'drug')
('dolasetron', 'none', 'drug')
('glucose', 'none', 'drug')
('potassium', 'none', 'drug')
('potassium', 'none', 'drug')
('magnesium', 'none', 'drug')
('thyroid', 'none', 'drug')
('glucose', 'none', 'drug')
('glucose', 'none', 'drug')
('calcium', 'none', 'drug')
('magnesium', 'none', 'drug')
('thyroid', 'none', 'drug')
('iodine', 'none', 'drug')
('glucose', 'none', 'drug')
('magnesium', 'none', 'drug')
('magnesium', 'none', 'drug')
('norepinephrine', 'none', 'drug')
