499 training documents
215 test documents
('anticholinergic', 'none', 'group')
('anticholinergic', 'none', 'group')
('antihistamines', 'drug', 'group')
('anticholinergic', 'none', 'group')
('antihistamines', 'drug', 'group')
('CNS depressants', 'group', 'none')
('monoamine oxidase (MAO) inhibitors', 'group', 'none')
('diuretic', 'none', 'group')
('ACE inhibitors', 'group', 'none')
('ACE inhibitor', 'group', 'none')
('Anti-inflammatory_Agents', 'none', 'group')
('Non-steroidal Anti-inflammatory Agents', 'group', 'none')
('non-steroidal anti-inflammatory drugs', 'group', 'none')
('antihypertensive', 'none', 'group')
('ACE inhibitors', 'group', 'none')
('ACE inhibitors', 'group', 'none')
('Agents', 'none', 'group')
('diuretics', 'none', 'group')
('thiazide-type diuretics', 'group', 'none')
('diuretics', 'none', 'group')
('potassium', 'none', 'drug')
('potassium-sparing diuretics', 'group', 'none')
('potassium', 'none', 'drug')
('ACE inhibitors', 'group', 'none')
('ACE inhibitor', 'group', 'none')
('ZDV', 'drug', 'drug_n')
('ZDV', 'drug', 'drug_n')
('zalcitabine', 'none', 'drug')
('deoxycytidine', 'none', 'drug')
('HIVID', 'drug', 'group')
('ZDV', 'drug', 'drug_n')
('HIVID', 'drug', 'brand')
('antiretroviral', 'none', 'group')
('antiretroviral nucleoside analogues', 'drug', 'none')
('HIVID', 'drug', 'brand')
('HIVID', 'drug', 'brand')
('HIVID', 'drug', 'brand')
('HIVID', 'drug', 'brand')
('HIVID', 'drug', 'none')
('HIVID', 'drug', 'brand')
('Aluminum', 'drug', 'none')
('Antacid Products', 'group', 'none')
('aluminum', 'drug', 'none')
('antacid products', 'group', 'none')
('aluminum', 'drug', 'none')
('CNS depressant drugs', 'group', 'none')
('CNS depressant drugs', 'group', 'none')
('coagulation factor', 'group', 'none')
('activated prothrombin complex concentrates', 'group', 'none')
('prothrombin complex concentrates', 'group', 'none')
('antifibrinolytic', 'none', 'group')
('tranexamic acid', 'drug', 'none')
('aminocaproic acid', 'drug', 'none')
('aminoglycoside', 'none', 'group')
('antibiotics', 'none', 'group')
('aminoglycoside antibiotics', 'group', 'none')
('cefotaxime', 'none', 'drug')
('Cephalosporins', 'group', 'none')
('cefotaxime sodium', 'drug', 'none')
('antidiabetic', 'none', 'group')
('somatostatin', 'none', 'drug')
('sulfonamide', 'none', 'group')
('antibiotics', 'none', 'group')
('antidiabetic products', 'group', 'none')
('ACE inhibitors', 'group', 'none')
('monoamine oxidase (MAO) inhibitors', 'group', 'none')
('somatostatin analog', 'group', 'none')
('sulfonamide antibiotics', 'group', 'none')
('sympathomimetic', 'none', 'group')
